X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
7.02572900000007,6.79092100000003,1281,National survey,Dulugha,6.790921,7.025729,30-60 cm,3,5.14,0.076603,0.854674,14.61987,165.2104,23.82,40.757058,120.16327,0,0,0,0
8.59640000000007,7.10873300000003,1282,National survey,Igbor,7.108733,8.5964,0-15 cm,1,6.5,0.077,0.95,4.3,1156,231.6,844.56,342.7,0,0,0,0
9.32026700000006,7.18598300000002,1283,National survey,Ageragu-mear katsina-ala,7.185983,9.320267,0-15 cm,1,5.85,0.077,0.6,2.9,856,171.6,918.85,227.7,0,0,0,0
7.83340000000004,7.03666700000002,1284,National survey,Okpoga,7.036667,7.8334,0-15 cm,1,5.95,0.077,0.82,3.5,648,129.6,1348.95,282.9,0,0,0,0
8.37201700000003,8.40335000000005,1285,National survey,Doma,8.40335,8.372017,0-15 cm,1,5.61,0.077,0.625,3.16,497,126,109.48,52.9,0,0,0,0
9.00866700000006,8.20666700000004,1286,National survey,Kanje Awe,8.206667,9.008667,15-30 cm,2,5.355,0.077,0.565,2.525,350,175.8,228.735,82.8,0,0,0,0
8.63350000000003,8.52016700000007,1287,National survey,Adogi,8.520167,8.6335,15-30 cm,2,5.39,0.077,0.57,5.05,574,160.8,782,59.8,0,0,0,0
7.65643000000006,8.03935000000007,1288,National survey,Bakono,8.03935,7.65643,15-30 cm,2,6.15,0.077,0.66,1.3,360,244.8,19.55,39.1,0,0,0,0
7.58333300000004,7.70000000000005,1289,National survey,Jibrim Hassan,7.7,7.583333,0-15 cm,1,6.52,0.012291,0.077141,3.419823,352.506,39.54708,81.234551,29.23783,0,0,0,0
8.85881700000004,8.60285000000005,1290,National survey,Assakio,8.60285,8.858817,0-15 cm,1,6.12,0.0775,0.975,3.175,496,139.2,224.825,82.8,0,0,0,0
8.12090000000006,8.84396700000002,1291,National survey,Garaku,8.843967,8.1209,15-30 cm,2,5.365,0.0775,0.6,1.37,410,218.4,164.22,63.25,0,0,0,0
8.73088300000006,8.42021700000004,1292,National survey,Tudun Adabu,8.420217,8.730883,0-15 cm,1,6.285,0.078,0.875,2.945,822,261.6,304.98,124.2,0,0,0,0
8.61393300000003,9.07233300000007,1293,National survey,Sisi baki,9.072333,8.613933,15-30 cm,2,5.865,0.078,0.71,2.855,494,136.2,130.985,135.7,0,0,0,0
7.80106700000005,8.86425000000003,1294,National survey,Angwan Zakara,8.86425,7.801067,15-30 cm,2,5.275,0.078,0.575,3.54,422,97.2,129.03,75.9,0,0,0,0
8.57600000000002,8.53016700000006,1295,National survey,Akurba,8.530167,8.576,15-30 cm,2,4.5,0.078,0.575,2.91,902,259.8,377.315,186.3,0,0,0,0
7.17153300000007,8.08668300000005,1296,National survey,Kanyel,8.086683,7.171533,15-30 cm,2,5.85,0.078,0.68,3.7,304,561.6,15.64,50.6,0,0,0,0
9.13333300000005,8.11666700000006,1297,National survey,Awe wetland,8.116667,9.133333,0-15 cm,1,5.825,0.0785,0.6,5.275,915,259.8,226.78,96.6,0,0,0,0
7.05000000000007,7.76666700000004,1298,National survey,John Shekpe,7.766667,7.05,0-15 cm,1,6.6,0.020322,0.078526,3.619304,531.9416,50.57568,99.641658,70.72569,0,0,0,0
8.37201700000003,8.40335000000005,1299,National survey,Doma,8.40335,8.372017,15-30 cm,2,5.46,0.0795,0.665,2.385,450,141.6,199.41,82.8,0,0,0,0
7.02447700000005,6.79084600000004,1300,National survey,Dulugha,6.790846,7.024477,30-60 cm,3,4.92,0.079795,0.88257,13.392252,119.3226,16.9506,35.333888,118.72186,0,0,0,0
9.37380000000007,7.48278300000004,1301,National survey,Ugba (kume village),7.482783,9.3738,0-15 cm,1,6.25,0.08,0.88,2.5,910,182.4,1278.57,351.9,0,0,0,0
9.45566700000006,7.17055000000005,1302,National survey,Otukpo,7.17055,9.455667,0-15 cm,1,5.2,0.08,0.55,3,856,171.6,821.1,216.2,0,0,0,0
8.62350000000004,8.52266700000007,1303,National survey,Bakin Rijiya,8.522667,8.6235,0-15 cm,1,5.43,0.08,0.765,4.135,837,218.4,234.6,117.3,0,0,0,0
7.85993300000007,8.83711700000003,1304,National survey,Pyenku,8.837117,7.859933,15-30 cm,2,5.515,0.08,0.745,4.565,350,103.2,101.66,88.55,0,0,0,0
8.04518300000007,9.27010000000007,1305,National survey,Barde,9.2701,8.045183,15-30 cm,2,6.075,0.08,0.785,1.51,551,129.6,179.86,62.1,0,0,0,0
8.30213300000003,7.93143300000003,1306,National survey,Rukubi Ekye,7.931433,8.302133,15-30 cm,2,6.125,0.08,0.82,2.235,844,189,615.825,87.4,0,0,0,0
8.05000000000007,6.18333300000006,1307,National survey,Mr. Aleke Felix. N,6.183333,8.05,0-15 cm,1,6.43,0.036708,0.080229,3.679306,205.78,40.73976,46.290099,40.50668,0,0,0,0
9.36217600000003,6.62324600000005,1308,National survey,Godilogo,6.623246,9.362176,15-30 cm,2,5.49,0.080902,1.00561,4.179953,608.7014,113.1582,78.986692,48.34048,0,0,0,0
9.16321700000003,7.44913300000007,1309,National survey,Buruku-buruku LGA,7.449133,9.163217,0-15 cm,1,6.3,0.081,0.77,3.5,1102,220.8,965.77,276,0,0,0,0
7.57745000000006,8.24235000000004,1310,National survey,Bakono,8.24235,7.57745,0-15 cm,1,6.28,0.081,0.8,1.8,316,240,23.46,43.7,0,0,0,0
8.30746700000003,8.71205000000003,1311,National survey,Mada stattion,8.71205,8.307467,15-30 cm,2,5.02,0.081,0.525,2.46,895,248.4,357.765,138,0,0,0,0
8.60091700000004,8.96108300000003,1312,National survey,Wamba,8.961083,8.600917,15-30 cm,2,5.455,0.081,0.69,2.705,1670,430.2,373.405,105.8,0,0,0,0
8.05000000000007,6.36666700000006,1313,National survey,Chief Agbom Vincent,6.366667,8.05,30-60 cm,3,6.58,0.031683,0.081008,5.662003,488.5936,60.2514,86.879809,40.35074,0,0,0,0
7.11666700000006,7.30000000000007,1314,National survey,Adama Usman,7.3,7.116667,0-15 cm,1,6.73,0.016054,0.081096,8.535257,621.6592,70.0878,121.730421,67.28098,0,0,0,0
7.96666700000003,6.20000000000005,1315,National survey,Chief E.C Ogbuiyan,6.2,7.966667,0-15 cm,1,6.57,0.028979,0.081401,14.213342,437.173,49.64724,68.430083,40.41928,0,0,0,0
8.10563500000006,7.11624000000006,1316,National survey,"NRCRI, Otobi",7.11624,8.105635,15-30 cm,2,5.23,0.081436,0.73355,1.59984,528.911,142.73556,54.35291,63.67067,0,0,0,0
8.60806700000006,8.51143300000007,1317,National survey,T/Gwandara,8.511433,8.608067,0-15 cm,1,5.575,0.082,0.8,5.26,497,136.2,164.22,115,0,0,0,0
8.53851700000007,8.75140000000005,1318,National survey,Gidan waya,8.7514,8.538517,15-30 cm,2,5.825,0.0825,0.675,5.11,784,197.4,105.57,92,0,0,0,0
9.35795600000006,6.61800300000004,1319,National survey,Godilogo,6.618003,9.357956,30-60 cm,3,5.64,0.083336,0.917117,2.018006,214.922,89.4612,66.323766,52.00783,0,0,0,0
8.64528300000006,8.44881700000008,1320,National survey,Agwade town,8.448817,8.645283,0-15 cm,1,5.095,0.0835,0.685,1.635,715,195.6,652.97,50.6,0,0,0,0
7.78013300000003,8.62208300000003,1321,National survey,Shamanga,8.622083,7.780133,15-30 cm,2,6.21,0.084,0.7,5.43,736,123.6,222.87,44.85,0,0,0,0
8.54581700000006,8.94446700000003,1322,National survey,Nakere,8.944467,8.545817,15-30 cm,2,5.315,0.084,0.7,2.15,622,207,306.935,104.65,0,0,0,0
7.22305600000004,8.22250000000003,1323,National survey,Ugya,8.2225,7.223056,15-30 cm,2,6.18,0.084,0.38,3.7,286,676.8,19.55,43.7,0,0,0,0
